CityID,urbanArea,X_1,Y_1,UHI_intensity_heat,UHI_intensity_cold,EVI_value_heat,EVI_value_cold,albedo_value_heat,albedo_value_cold,EVI_CE_inten1_heat,EVI_CE_inten2_heat,EVI_CE_inten3_heat,EVI_CE_inten4_heat,EVI_CE_inten5_heat,EVI_CE_inten1_cold,EVI_CE_inten2_cold,EVI_CE_inten3_cold,EVI_CE_inten4_cold,EVI_CE_inten5_cold,albedo_CE_inten1_heat,albedo_CE_inten2_heat,albedo_CE_inten3_heat,albedo_CE_inten4_heat,albedo_CE_inten5_heat,albedo_CE_inten1_cold,albedo_CE_inten2_cold,albedo_CE_inten3_cold,albedo_CE_inten4_cold,albedo_CE_inten5_cold,GID_0,Country_Name
1,38.6240005,170.4894754,-45.88237509,0.337256814,0.205158115,0.335267084,0.332009776,0.177803066,0.183022363,-0.051634592,-0.103269184,-0.154903776,-0.206538368,-0.25817296,-0.036337815,-0.07267563,-0.109013445,-0.14535126,-0.181689075,-0.279306466,-0.558612932,-0.837919398,-1.117225864,-1.39653233,-0.265420818,-0.530841636,-0.796262454,-1.061683272,-1.327104091,NZL,New Zealand
2,154.6880035,172.6194112,-43.5288739,0.427568078,0.136112059,0.294998826,0.283292845,0.19497456,0.196205323,-0.036799196,-0.073598391,-0.110397587,-0.147196783,-0.183995979,-0.03304669,-0.06609338,-0.099140069,-0.132186759,-0.165233449,-0.018385202,-0.036770403,-0.055155605,-0.073540807,-0.091926008,-0.018745275,-0.03749055,-0.056235826,-0.074981101,-0.093726376,NZL,New Zealand
3,31.7392006,174.3180571,-35.71433339,0.171214322,0.116575019,0.354119628,0.353076296,0.20120008,0.198845948,-0.034167087,-0.068334174,-0.102501261,-0.136668348,-0.170835434,-0.043595962,-0.087191923,-0.130787885,-0.174383846,-0.217979808,-0.08584234,-0.171684679,-0.257527019,-0.343369359,-0.429211699,-0.086732753,-0.173465505,-0.260198258,-0.34693101,-0.433663763,NZL,New Zealand
4,437.1650085,174.7996479,-36.92773397,0.08735003,0.060911305,0.308328394,0.311616021,0.188419766,0.188754807,-0.03013717,-0.060274341,-0.090411511,-0.120548682,-0.150685852,-0.046582439,-0.093164878,-0.139747317,-0.186329757,-0.232912196,-0.013913078,-0.027826156,-0.041739235,-0.055652313,-0.069565391,-0.014731567,-0.029463134,-0.044194702,-0.058926269,-0.073657836,NZL,New Zealand
5,91.4888992,174.7323156,-36.76124668,0.17562059,0.073474291,0.307405966,0.305330706,0.168081929,0.16804991,-0.030646137,-0.061292274,-0.09193841,-0.122584547,-0.153230684,-0.044337028,-0.088674055,-0.133011083,-0.177348111,-0.221685139,-0.026615595,-0.05323119,-0.079846785,-0.10646238,-0.133077976,-0.025969275,-0.051938549,-0.077907824,-0.103877098,-0.129846373,NZL,New Zealand
6,87.0514984,175.269054,-37.76955098,0.518484705,0.084032218,0.36202332,0.359916766,0.216725844,0.218202374,-0.03591442,-0.071828839,-0.107743259,-0.143657679,-0.179572098,-0.046519868,-0.093039737,-0.139559605,-0.186079473,-0.232599342,-0.02237407,-0.04474814,-0.06712221,-0.08949628,-0.111870349,-0.020806006,-0.041612012,-0.062418018,-0.083224024,-0.10403003,NZL,New Zealand
7,35.8727989,175.6157234,-40.35106696,0.758759448,0.272026289,0.323356855,0.349188592,0.227456709,0.236570972,-0.033281653,-0.066563306,-0.099844958,-0.133126611,-0.166408264,-0.046921938,-0.093843876,-0.140765814,-0.187687752,-0.234609691,-0.040620795,-0.081241591,-0.121862386,-0.162483182,-0.203103977,-0.039462644,-0.078925287,-0.118387931,-0.157850574,-0.197313218,NZL,New Zealand
8,56.7179985,176.1392518,-37.71453495,0.620586703,0.254966557,0.389990144,0.376354773,0.210216262,0.207687534,-0.034754982,-0.069509963,-0.104264945,-0.139019927,-0.173774908,-0.051699456,-0.103398912,-0.155098368,-0.206797824,-0.25849728,-0.063267272,-0.126534543,-0.189801815,-0.253069087,-0.316336358,-0.060714233,-0.121428467,-0.1821427,-0.242856933,-0.303571167,NZL,New Zealand
9,33.7410011,176.2456741,-38.13935735,0.316520186,0.11788786,0.362351156,0.350020746,0.213122184,0.208827084,-0.044261484,-0.088522967,-0.132784451,-0.177045934,-0.221307418,-0.057103224,-0.114206447,-0.171309671,-0.228412895,-0.285516119,-0.219776677,-0.439553354,-0.659330032,-0.879106709,-1.098883386,-0.208806248,-0.417612496,-0.626418743,-0.835224991,-1.044031239,NZL,New Zealand
10,58.4561996,-3.861166516,5.239915318,0.0913594,0.374741639,0.20394648,0.203808669,0.214160618,0.202964188,-0.007874021,-0.015748041,-0.023622062,-0.031496082,-0.039370103,-0.007687326,-0.015374652,-0.023061978,-0.030749304,-0.03843663,-0.062425007,-0.124850013,-0.18727502,-0.249700026,-0.312125033,-0.065212299,-0.130424597,-0.195636896,-0.260849194,-0.326061493,CIV,Côte d'Ivoire
