CityID,X,Y,MMT,MMP,0_5,5_mmp,mmp_95,95_100,heat_UHI,cold_UHI,annual_UHI,heat_EVI,cold_EVI,annual_EVI,heat_albedo,cold_albedo,annual_albedo,futureheat_albedo1,futureheat_albedo2,futureheat_albedo3,futureheat_albedo4,futureheat_albedo5,futureheat_EVI1,futureheat_EVI2,futureheat_EVI3,futureheat_EVI4,futureheat_EVI5,futurecold_albedo1,futurecold_albedo2,futurecold_albedo3,futurecold_albedo4,futurecold_albedo5,futurecold_EVI1,futurecold_EVI2,futurecold_EVI3,futurecold_EVI4,futurecold_EVI5,futureannual_albedo1,futureannual_albedo2,futureannual_albedo3,futureannual_albedo4,futureannual_albedo5,futureannual_EVI1,futureannual_EVI2,futureannual_EVI3,futureannual_EVI4,futureannual_EVI5,futureannual_seasonal_albedo1,futureannual_seasonal_albedo2,futureannual_seasonal_albedo3,futureannual_seasonal_albedo4,futureannual_seasonal_albedo5
1 ,170.4894754,-45.88237509,24.893,76.38,0.869037841,9.162159845,0.119006982,0.266414345,0.778880019,-28.68129084,-27.90241082,-0.356013634,25.42738656,25.07137293,-2.208390068,178.4948881,176.286498,-0.540993263,-0.949355343,-1.684607691,-1.919141193,-2.269271009,-0.175849251,-0.232214055,-0.28857886,-0.344943664,-0.51881102,40.12469647,80.24939294,120.3740894,160.4987859,200.6234824,5.493328709,10.98665742,16.47998613,21.97331484,27.46664355,39.58370321,79.3000376,118.6894817,158.5796447,198.3542113,5.317479458,10.75444336,16.19140727,21.62837117,26.94783253,-40.66568973,-41.07405181,-41.80930416,-42.04383766,-42.39396748
2 ,172.6194112,-43.5288739,25.048,76.972,1.079817258,7.918048532,0.155274529,0.3582602,2.301572513,-17.89787399,-15.59630148,-0.997485468,21.70648206,20.70899659,-0.660902147,12.33339175,11.6724896,-0.028804889,-0.057609777,-0.086414666,-0.26893102,-0.294535366,-0.057654888,-0.269011217,-0.475359539,-0.52020223,-0.56504492,2.723355972,5.446711945,8.170067917,10.89342389,13.61677986,4.801097817,9.602195634,14.40329345,19.20439127,24.00548908,2.694551084,5.389102167,8.083653251,10.62449287,13.3222445,4.743442929,9.333184417,13.92793391,18.68418904,23.44044416,-2.752160861,-2.78096575,-2.809770638,-2.992286993,-3.017891338
3 ,174.3180571,-35.71433339,23.8134,77.972,0.931723686,6.880155629,0.12189518,0.295587485,0.846770897,-9.436494501,-8.589723604,-0.846560231,16.70088488,15.85432465,-1.575702635,29.37857207,27.80286944,-0.753735013,-1.016247057,-1.399081202,-1.901210361,-2.517510339,-0.351100065,-0.700193783,-0.80467919,-0.909164597,-1.013650005,13.12105317,26.28880739,39.51150552,52.83222853,66.35863774,6.587133204,13.19060364,19.79592152,26.42881157,33.07516168,12.36731816,25.27256033,38.11242432,50.93101817,63.8411274,6.236033139,12.49040985,18.99124233,25.51964697,32.06151168,-13.78815119,-14.05066323,-14.43349738,-14.93562654,-15.55192652
4 ,174.7996479,-36.92773397,23.9314,78.656,1.129424788,7.174628028,0.152750109,0.306435423,0.209525449,-11.25951011,-11.04998466,-0.855271963,42.88343887,42.02816691,-0.04543178,13.61213648,13.5667047,-0.336398112,-0.367004785,-0.397611458,-0.428218131,-0.458824803,-0.372088667,-0.438385895,-0.504683123,-0.57098035,-0.789430518,2.663347536,5.313157618,7.973079416,10.6391116,13.30514378,8.405198083,16.8400265,25.30874299,33.81927145,42.38111814,2.326949423,4.946152833,7.575467958,10.21089347,12.84631898,8.033109416,16.4016406,24.80405986,33.2482911,41.59168763,-3.011330878,-3.041937551,-3.072544224,-3.103150896,-3.133757569
5 ,174.7323156,-36.76124668,23.8878,78.516,1.132342834,7.092884664,0.137560028,0.314299348,0.669418657,-13.89888454,-13.22946588,-0.655638685,41.39890919,40.7432705,-0.505206785,24.42735748,23.9221507,-0.201121765,-0.401075406,-0.737264262,-0.797326797,-0.857389333,-0.210630791,-0.557282523,-0.764551033,-0.833709159,-0.902867285,4.682074935,9.382178556,14.09419166,18.82333186,23.55963682,8.006401273,16.05477857,24.13771635,32.25447178,40.45681066,4.48095317,8.98110315,13.3569274,18.02600506,22.70224749,7.795770482,15.49749605,23.37316531,31.42076262,39.55394338,-4.872188807,-5.072142448,-5.408331305,-5.46839384,-5.528456375
6 ,175.269054,-37.76955098,24.2248,79.246,1.115983729,7.658549658,0.148240922,0.302958523,1.671949075,-12.62762283,-10.95567375,-0.488208757,34.61795415,34.12974539,-0.121563394,15.61375405,15.49219065,-0.036469018,-0.220744402,-0.256278317,-0.439195134,-0.473793946,-0.206714917,-0.411874559,-0.467411897,-0.818197182,-1.018730326,3.46847982,6.936959641,10.40543946,13.87962891,17.36356707,7.755127301,15.52124399,23.3327582,31.15251157,38.97226493,3.432010802,6.716215239,10.14916114,13.44043377,16.88977312,7.548412383,15.10936943,22.86534631,30.33431438,37.9535346,-3.504948839,-3.689224222,-3.724758137,-3.907674954,-3.942273767
7 ,175.6157234,-40.35106696,25.3696,80.43,1.034872986,7.973681639,0.125595005,0.236621006,2.579327212,-39.22864371,-36.6493165,-0.460795933,33.8850664,33.42427046,-0.630411457,28.51970254,27.88929109,-0.438560124,-0.498970111,-0.559380098,-0.869428999,-1.051447545,-0.427645579,-0.47714102,-0.526636462,-0.576131903,-0.874950732,6.326322173,12.65264435,18.97896652,25.30528869,31.63161087,7.522134116,15.04426823,22.56640235,30.08853646,37.61067058,5.887762049,12.15367424,18.41958642,24.43585969,30.58016332,7.094488537,14.56712721,22.03976589,29.51240456,36.73571985,-6.764882297,-6.825292284,-6.885702271,-7.195751172,-7.377769718
8 ,176.1392518,-37.71453495,24.0218,75.724,1.11983771,7.670514062,0.155645266,0.310553804,2.64090206,-49.7895819,-47.14867984,-1.447759425,50.47281077,49.02505134,-1.591250727,59.14315058,57.55189985,-0.188271098,-0.529659818,-1.024102819,-1.513163837,-1.994341083,-0.103424067,-0.362461258,-0.464364382,-0.566267507,-0.822734642,10.48546868,20.88906074,31.27913345,41.64919444,51.94234513,8.935350011,17.8049467,26.64859373,35.50635777,44.30077109,10.29719758,20.35940092,30.25503063,40.1360306,49.94800404,8.831925944,17.44248544,26.18422935,34.94009026,43.47803645,-10.7203201,-11.06170882,-11.55615182,-12.04521284,-12.52639008
9 ,176.2456741,-38.13935735,23.8312,76.942,0.836169412,7.743672226,0.116355246,0.28134193,0.818141059,-17.69152211,-16.87338105,-0.520534976,42.69126617,42.17073119,-2.675214506,153.5470869,150.8718724,-1.066382446,-2.106323512,-2.887266077,-4.099891788,-5.260430078,-0.240545977,-0.479894207,-0.717098923,-0.952176588,-1.070473635,33.04799656,66.28589859,99.52315453,132.7732418,165.9516455,9.008877283,18.05453019,27.10018309,36.16251335,45.24602968,31.98161411,64.17957508,96.63588845,128.67335,160.6912155,8.768331306,17.57463598,26.38308417,35.21033676,44.17555605,-33.87891116,-34.91885222,-35.69979479,-36.9124205,-38.07295879
10 ,-3.861166516,5.239915318,26.9632,68.182,0.650046871,1.955951749,0.701910516,0.274330377,8.931485883,-71.87044202,-62.93895613,-3.987832157,6.432357941,2.444525784,-27.39477152,61.28100058,33.88622906,-0.762584891,-1.776125873,-2.821956115,-3.987340395,-5.289798695,-0.082847728,-0.165695456,-0.260181557,-0.359066487,-0.457951418,0,0,0,0,0,0,0,0,0,0,-0.762584891,-1.776125873,-2.821956115,-3.987340395,-5.289798695,-0.082847728,-0.165695456,-0.260181557,-0.359066487,-0.457951418,-0.762584891,-1.776125873,-2.821956115,-3.987340395,-5.289798695
